7DF1_D,7DF1_G
6BA5_M,6BA5_B
8UF7_C,8UF7_B
6GLX_A,6GLX_H
5DFZ_C,5DFZ_E
7ZW1_B,7ZW1_C
6NYQ_C,6NYQ_H
8HLB_A,8HLB_D
4AG4_A,4AG4_H
6H3T_A,6H3T_H
7KYO_B,7KYO_H
8UY6_O,8UY6_P
3D85_C,3D85_B
5FHX_A,5FHX_H
8PWU_I,8PWU_J
4HEP_A,4HEP_G
6YYE_B,6YYE_D
5TPN_A,5TPN_H
3IU3_J,3IU3_C
7LDE_A,7LDE_L
4J6R_G,4J6R_H
4YDL_G,4YDL_H
7JKT_G,7JKT_H
5I9Q_G,5I9Q_H
8WSU_D,8WSU_E
5UEK_A,5UEK_H
7S1B_A,7S1B_H
7URC_A,7URC_H
7O52_U,7O52_H
5LWF_A,5LWF_C
7USL_C,7USL_H
5VCO_F,5VCO_B
8GHR_B,8GHR_D
1JRH_I,1JRH_H
1ZVH_L,1ZVH_A
4I0C_B,4I0C_C
6RCU_A,6RCU_B
3J8V_C,3J8V_G
6P67_J,6P67_C
3ETB_K,3ETB_G
7UA8_B,7UA8_I
6CSF_C,6CSF_A
6DDM_C,6DDM_B
2VXQ_A,2VXQ_H
7DM2_A,7DM2_H
8UDG_A,8UDG_H
3LEV_A,3LEV_H
3LOH_E,3LOH_C
8R4D_A,8R4D_B
7P60_F,7P60_I
3U30_A,3U30_C
7N0V_C,7N0V_H
8HSC_R,8HSC_F
7ANQ_A,7ANQ_B
8B7H_A,8B7H_H
5H8O_B,5H8O_A
8OPR_A,8OPR_C
8XPY_A,8XPY_B
8JR3_E,8JR3_B
5VL3_S,5VL3_C
6MUI_N,6MUI_O
6LYN_D,6LYN_H
6K5A_A,6K5A_C
3SKJ_F,3SKJ_I
8WSN_A,8WSN_E
5L0Q_D,5L0Q_F
4ZYP_A,4ZYP_H
3L95_Y,3L95_H
6XSW_F,6XSW_D
7TH2_B,7TH2_D
5BK1_B,5BK1_C
5TLK_X,5TLK_D
5C0S_A,5C0S_H
5W1K_P,5W1K_O
7QU1_C,7QU1_A
9CTU_B,9CTU_F
6XZU_B,6XZU_A
7UPD_D,7UPD_H
4XT1_A,4XT1_C
5VNW_A,5VNW_D
7M30_C,7M30_M
5X0T_F,5X0T_C
7UOV_b,7UOV_Q
7LXX_A,7LXX_H
4Y8D_B,4Y8D_D
6R7T_B,6R7T_A
8BE5_A,8BE5_N
3GI8_C,3GI8_H
3PGF_A,3PGF_H
8JYR_A,8JYR_H
4LEO_C,4LEO_A
8VQD_A,8VQD_C
2A0L_A,2A0L_D
6XM2_L,6XM2_B
8V52_A,8V52_F
5F3H_I,5F3H_C
6UYG_E,6UYG_A
8TQI_A,8TQI_I
6K7O_Q,6K7O_D
8TUI_A,8TUI_H
7NIU_A,7NIU_C
7YFC_A,7YFC_C
7T9A_B,7T9A_M
8R4B_A,8R4B_C
6DBF_A,6DBF_B
4FQK_A,4FQK_H
8AV2_B,8AV2_D
9BIT_A,9BIT_B
4Y7M_C,4Y7M_A
8UOA_A,8UOA_B
7YK4_B,7YK4_I
7TDN_B,7TDN_H
5T5F_A,5T5F_H
6H2Y_D,6H2Y_H
7JGJ_A,7JGJ_H
7VAG_A,7VAG_H
3KS0_B,3KS0_H
4K2U_A,4K2U_H
5T1D_B,5T1D_H
8ELN_J,8ELN_L
4NIK_A,4NIK_B
7UMM_C,7UMM_J
6U38_B,6U38_H
6TYB_G,6TYB_H
7T4G_E,7T4G_J
2YC1_F,2YC1_D
8C5H_S,8C5H_N
6MEJ_C,6MEJ_A
8W0V_C,8W0V_H
1IQD_C,1IQD_B
8IVW_J,8IVW_K
7K66_A,7K66_B
7AZB_A,7AZB_B
5TR1_A,5TR1_H
8IL3_C,8IL3_B
3L5Y_A,3L5Y_H
7REW_I,7REW_H
3G6D_A,3G6D_H
6WZT_B,6WZT_E
1NCB_N,1NCB_H
8H64_G,8H64_H
4KFZ_A,4KFZ_C
6P65_B,6P65_C
7MXE_J,7MXE_R
5HVH_A,5HVH_C
2VXT_I,2VXT_H
7ZWF_A,7ZWF_B
8TNL_C,8TNL_A
4F15_A,4F15_B
4XNQ_D,4XNQ_B
7K65_A,7K65_B
8VZN_A,8VZN_B
6ELU_A,6ELU_B
8D48_A,8D48_H
7S2S_D,7S2S_A
6LGW_E,6LGW_A
7ZAU_G,7ZAU_H
7R74_C,7R74_B
4XNY_G,4XNY_H
7RI2_A,7RI2_B
4YDJ_G,4YDJ_H
6U0N_B,6U0N_I
6OPP_J,6OPP_N
8TR3_E,8TR3_J
6XCJ_G,6XCJ_H
6R2S_C,6R2S_B
7D5Q_A,7D5Q_C
5W4L_A,5W4L_F
7SJN_A,7SJN_H
7U8G_A,7U8G_D
7ZXK_A,7ZXK_J
8U5L_B,8U5L_N
8F5I_A,8F5I_X
4WEN_A,4WEN_B
8V5L_A,8V5L_B
7KDD_B,7KDD_F
6Q6Z_A,6Q6Z_B
7CZ0_A,7CZ0_E
8BYU_A,8BYU_H
3VI4_B,3VI4_F
3NH7_B,3NH7_I
7KEX_C,7KEX_I
7KEW_B,7KEW_H
7NQA_A,7NQA_D
7PI7_A,7PI7_B
6I6J_A,6I6J_C
6ZE1_A,6ZE1_B
7MLH_B,7MLH_E
6UQR_B,6UQR_A
6GKD_O,6GKD_Q
5IP4_D,5IP4_B
8QOT_A,8QOT_B
5F6J_G,5F6J_B
4OGY_B,4OGY_M
8FGX_C,8FGX_B
6AOD_C,6AOD_B
8S0L_A,8S0L_B
2R0K_A,2R0K_H
6M3B_A,6M3B_C
6LZ9_B,6LZ9_H
8R8D_A,8R8D_H
5LHR_A,5LHR_B
5HGG_B,5HGG_S
3SO3_A,3SO3_C
7BC7_A,7BC7_B
5VXM_A,5VXM_B
5FCU_G,5FCU_H
6OFI_G,6OFI_H
5KJR_G,5KJR_H
4R4F_A,4R4F_H
4YBL_G,4YBL_H
6OEJ_G,6OEJ_H
7R98_C,7R98_F
7T82_B,7T82_H
7UPB_G,7UPB_H
4OII_A,4OII_H
7WUR_B,7WUR_G
6H3U_B,6H3U_H
